Model,Type of device,Brand,Release year,Operating System,OS version,Kernel,UI and version,Comment
Nokia E5-00,Smartphone,Nokia,[empty],Symbian OS,9.3,[empty],S60 3rd Edition  Feature Pack 2  version 3.2,[empty]
Nokia E50,Smartphone,Nokia,[empty],Symbian OS,9.1,[empty],S60 3rd Edition  version 3,[empty]
Nokia E51,Smartphone,Nokia,[empty],Symbian OS,9.2,[empty],S60 3rd Edition  Feature Pack 1  version 3.1,[empty]
Nokia E52,Smartphone,Nokia,[empty],Symbian OS,9.3,[empty],S60 3rd Edition  Feature Pack 2  version 3.2,[empty]
Nokia E55,Smartphone,Nokia,[empty],Symbian OS,9.3,[empty],S60 3rd Edition  Feature Pack 2  version 3.2,[empty]
Nokia E60,Smartphone,Nokia,[empty],Symbian OS,9.1,[empty],S60 3rd Edition  version 3,[empty]
Nokia E61,Smartphone,Nokia,[empty],Symbian OS,9.1,[empty],S60 3rd Edition  version 3,[empty]
Nokia E61i,Smartphone,Nokia,[empty],Symbian OS,9.1,[empty],S60 3rd Edition  version 3,[empty]
Nokia E62,Smartphone,Nokia,[empty],Symbian OS,9.1,[empty],S60 3rd Edition  version 3,[empty]
Nokia E63,Smartphone,Nokia,[empty],Symbian OS,9.2,[empty],S60 3rd Edition  Feature Pack 1  version 3.1,[empty]
Nokia E65,Smartphone,Nokia,[empty],Symbian OS,9.1,[empty],S60 3rd Edition  version 3,[empty]
Nokia E66,Smartphone,Nokia,[empty],Symbian OS,9.2,[empty],S60 3rd Edition  Feature Pack 1  version 3.1,[empty]
Nokia E7-00,Smartphone,Nokia,2010,Symbian^3,9.5,EKA2,Symbian^3  version 5.2,[empty]
Nokia E70,Smartphone,Nokia,[empty],Symbian OS,9.1,[empty],S60 3rd Edition  version 3,[empty]
Nokia E71,Smartphone,Nokia,[empty],Symbian OS,9.2,[empty],S60 3rd Edition  Feature Pack 1  version 3.1,[empty]
Nokia E72,Smartphone,Nokia,[empty],Symbian OS,9.3,[empty],S60 3rd Edition  Feature Pack 2  version 3.2,[empty]
Nokia E73,Smartphone,Nokia,[empty],Symbian OS,9.3,[empty],S60 3rd Edition  Feature Pack 2  version 3.2,[empty]
Nokia E75,Smartphone,Nokia,2009,Symbian OS,9.3,[empty],S60 3rd Edition  Feature Pack 2  version 3.2,[empty]
Nokia E90 Communicator,Smartphone,Nokia,[empty],Symbian OS,9.2,[empty],S60 3rd Edition  Feature Pack 1  version 3.1,[empty]
Nokia N70,Smartphone,Nokia,2005,Symbian OS,8.1a,[empty],S60 2nd Edition  Feature Pack 3  version 2.8,[empty]
Nokia N71,Smartphone,Nokia,2006,Symbian OS,9.1,[empty],S60 3rd Edition  version 3,[empty]
Nokia N72,Smartphone,Nokia,2006,Symbian OS,8.1a,[empty],S60 2nd Edition  Feature Pack 3  version 2.8,[empty]
Nokia N73,Smartphone,Nokia,2006,Symbian OS,9.1,[empty],S60 3rd Edition  version 3,[empty]
Nokia N75,Smartphone,Nokia,2007,Symbian OS,9.1,[empty],S60 3rd Edition  version 3,[empty]
Nokia N76,Smartphone,Nokia,2007,Symbian OS,9.2,[empty],S60 3rd Edition  Feature Pack 1  version 3.1,[empty]
Nokia N77,Smartphone,Nokia,2007,Symbian OS,9.1,[empty],S60 3rd Edition  version 3,[empty]
Nokia N78,Smartphone,Nokia,2008,Symbian OS,9.3,[empty],S60 3rd Edition  Feature Pack 2  version 3.2,[empty]
Nokia N79,Smartphone,Nokia,2008,Symbian OS,9.3,[empty],S60 3rd Edition  Feature Pack 2  version 3.2,[empty]
Nokia N8,Smartphone,Nokia,2010,Symbian^3,9.5,EKA2,Symbian^3  version 5.2,[empty]
Nokia N80,Smartphone,Nokia,2006,Symbian OS,9.1,[empty],S60 3rd Edition  version 3,[empty]
Nokia N81,Smartphone,Nokia,2007,Symbian OS,9.2,[empty],S60 3rd Edition  Feature Pack 1  version 3.1,[empty]
Nokia N81 8GB,Smartphone,Nokia,2007,Symbian OS,9.2,[empty],S60 3rd Edition  Feature Pack 1  version 3.1,[empty]
Nokia N82,Smartphone,Nokia,2007,Symbian OS,9.2,[empty],S60 3rd Edition  Feature Pack 1  version 3.1,[empty]
Nokia N85,Smartphone,Nokia,2008,Symbian OS,9.3,[empty],S60 3rd Edition  Feature Pack 2  version 3.2,[empty]
Nokia N86 8MP,Smartphone,Nokia,2009,Symbian OS,9.3,[empty],S60 3rd Edition  Feature Pack 2  version 3.2,[empty]
Nokia N90,Smartphone,Nokia,2005,Symbian OS,8.1a,EKA1,S60 2nd Edition  Feature Pack 3  version 2.8,[empty]
Nokia N91,Smartphone,Nokia,2006,Symbian OS,9.1,[empty],S60 3rd Edition  version 3,[empty]
Nokia N91 8GB,Smartphone,Nokia,2006,Symbian OS,9.1,[empty],S60 3rd Edition  version 3,[empty]
Nokia N92,Smartphone,Nokia,2006,Symbian OS,9.1,[empty],S60 3rd Edition  version 3,[empty]
Nokia N93,Smartphone,Nokia,2006,Symbian OS,9.1,[empty],S60 3rd Edition  version 3,[empty]
Nokia N93i,Smartphone,Nokia,2007,Symbian OS,9.1,[empty],S60 3rd Edition  version 3,[empty]
